year,paper_id,title,authors,abstract,keywords,has_croissant,croissant_url,dataset_url,openreview_url,pdf_url,is_competition_paper
2025,S4YDNW5eCx,Demystifying Network Foundation Models,Roman Beltiukov; Satyandra Guthula; Wenbo Guo; Walter Willinger; Arpit Gupta,"This work presents a systematic investigation into the latent knowledge encoded within Network Foundation Models (NFMs). Different from existing efforts, we focus on hidden representations analysis rather than pure downstream task performance and analyze NFMs through a three-part evaluation: Embedding Geometry Analysis to assess representation space utilization, Metric Alignment Assessment to measure correspondence with domain-expert features, and Causal Sensitivity Testing to evaluate robustness to protocol perturbations. Using five diverse network datasets spanning controlled and real-world environments, we evaluate four state-of-the-art NFMs, revealing that they all exhibit significant anisotropy, inconsistent feature sensitivity patterns, an inability to separate the high-level context, payload dependency, and other properties. Our work identifies numerous limitations across all models and demonstrates that addressing them can significantly improve model performance (up to 0.35 increase in $F_1$ scores without architectural changes).",network foundation model; foundation model; computer networks,False,,,https://openreview.net/forum?id=S4YDNW5eCx,https://openreview.net/pdf?id=S4YDNW5eCx,False
2025,fm77rDf9JS,AgentRecBench: Benchmarking LLM Agent-based Personalized Recommender Systems,Yu Shang; Peijie Liu; Yuwei Yan; Zijing Wu; Leheng Sheng; Yuanqing Yu; Chumeng Jiang; An Zhang; Fengli Xu; Yu Wang; Min Zhang; Yong Li,"The emergence of agentic recommender systems powered by Large Language Models (LLMs) represents a paradigm shift in personalized recommendations, leveraging LLMs’ advanced reasoning and role-playing capabilities to enable autonomous, adaptive decision-making. Unlike traditional recommendation approaches, agentic recommender systems can dynamically gather and interpret user-item interactions from complex environments, generating robust recommendation strategies that generalize across diverse scenarios. However, the field currently lacks standardized evaluation protocols to systematically assess these methods. To address this critical gap, we propose: (1) an interactive textual recommendation simulator incorporating rich user and item metadata and three typical evaluation scenarios (classic, evolving-interest, and cold-start recommendation tasks); (2) a unified modular framework for developing agentic recommender systems; and (3) the first comprehensive benchmark comparing over 10 classical and agentic recommendation methods. Our findings demonstrate the superiority of agentic systems and establish actionable design guidelines for their core components. The benchmark environment has been rigorously validated through an open challenge and remains publicly available with a maintained leaderboard at https://tsinghua-fib-lab.github.io/AgentSocietyChallenge/pages/overview.html. The benchmark is available at: https://huggingface.co/datasets/SGJQovo/AgentRecBench.",Agentic Recommender System; LLM Agent; Benchmark,True,https://openreview.net/attachment?id=fm77rDf9JS&name=croissant_file,https://huggingface.co/datasets/SGJQovo/AgentRecBench,https://openreview.net/forum?id=fm77rDf9JS,https://openreview.net/pdf?id=fm77rDf9JS,True
2025,anzoPBV4jI,MTBBench: A Multimodal Sequential Clinical Decision-Making Benchmark in Oncology,Kiril Vasilev; Alexandre Misrahi; Eeshaan Jain; Phil F Cheng; Petros Liakopoulos; Olivier Michielin; Michael Moor; Charlotte Bunne,"Multimodal Large Language Models (LLMs) hold promise for biomedical reasoning, but current benchmarks fail to capture the complexity of real-world clinical workflows. Existing evaluations primarily assess unimodal, decontextualized question-answering, overlooking multi-agent decision-making environments such as Molecular Tumor Boards (MTBs). MTBs bring together diverse experts in oncology, where diagnostic and prognostic tasks require integrating heterogeneous data and evolving insights over time. Current benchmarks lack this longitudinal and multimodal complexity. We introduce **MTBBench**, an agentic benchmark simulating MTB-style decision-making through clinically challenging, multimodal, and longitudinal oncology questions. Ground truth annotations are validated by clinicians via a co-developed app, ensuring clinical relevance. We benchmark multiple open and closed-source LLMs and show that, even at scale, they lack reliability—frequently hallucinating, struggling with reasoning from time-resolved data, and failing to reconcile conflicting evidence or different modalities. To address these limitations, MTBBench goes beyond benchmarking by providing an agentic framework with foundation model-based tools that enhance multi-modal and longitudinal reasoning, leading to task-level performance gains of up to 9.0% and 11.2%, respectively. Overall, MTBBench offers a challenging and realistic testbed for advancing multimodal LLM reasoning, reliability, and tool-use with a focus on MTB environments in precision oncology.",Oncology; Agents; Foundation Models; Multi-Modality; Decision Making,True,https://openreview.net/attachment?id=anzoPBV4jI&name=croissant_file,https://huggingface.co/datasets/EeshaanJain/MTBBench,https://openreview.net/forum?id=anzoPBV4jI,https://openreview.net/pdf?id=anzoPBV4jI,False
2025,3rY182JOOZ,MedicalNarratives: Connecting Medical Vision and Language with Localized Narratives,Wisdom Oluchi Ikezogwo; Kevin Minghan Zhang; Mehmet Saygin Seyfioglu,"Multi-modal models are data hungry. While datasets with natural images are abundant, medical image datasets can not afford the same luxury. To enable representation learning for medical images at scale, we turn to YouTube, a platform with a large reservoir of open-source medical pedagogical videos. We curate MedicalNarratives, a dataset 4.7M medical image-text pairs, with 1M samples containing dense annotations in the form of traces spatial traces (and bounding boxes), and 118K videos centered on the trace event (with aligned text), enabling spatiotemporal grounding beyond single frames. Similar to think-aloud studies where instructors speak while hovering their mouse cursor movements over relevant image regions, 1M images in MedicalNarratives contains localized mouse traces in image pixels, creating a spatial association between the text and pixels. To evaluate the utility of MedicalNarratives, we train GenMedClip with a CLIP-like objective using our dataset spanning 12 medical domains. GenMedClip outperforms previous state-of-the-art models on all 12 domains on a newly constructed medical imaging benchmark. Data, demo, code, and models will be made available.",Medical; Spatial; Vision-languge; Vision; Dataset; Foundational Model; Localized Narratives; Traces; Video; Text,True,https://openreview.net/attachment?id=3rY182JOOZ&name=croissant_file,https://huggingface.co/datasets/wisdomik/MedicalNarratives,https://openreview.net/forum?id=3rY182JOOZ,https://openreview.net/pdf?id=3rY182JOOZ,False
2025,DHA9uoeMQx,Data-Juicer 2.0: Cloud-Scale Adaptive Data Processing for and with Foundation Models,Daoyuan Chen; Yilun Huang; Xuchen Pan; Jiang Nana; Haibin Wang; Yilei Zhang; Ce Ge; Yushuo Chen; Wenhao Zhang; Zhijian Ma; Jun Huang; Wei Lin; Yaliang Li; Bolin Ding; Jingren Zhou,"Foundation models demand advanced data processing for their vast, multimodal datasets.
However, traditional frameworks struggle with the unique complexities of multimodal data.
In response, we present Data-Juicer 2.0, a data processing system backed by 100+ data processing operators spanning text, image, video, and audio modalities, supporting more critical tasks including data analysis, synthesis, annotation, and foundation model post-training.
With seamless compatibility and dedicated optimization for popular dataset hubs like Hugging Face and computing engines like Ray, it improves upon its predecessor in terms of usability, efficiency, and programmability.
It features an easily accessible user interface layer that supports decoupled Python interactions, RESTful APIs, and conversational commands. 
Its new runtime layer offers adaptive execution across diverse scales and environments, abstracting away system complexities.
Extensive empirical evaluations demonstrate Data-Juicer 2.0's remarkable performance and scalability, highlighting its capability to efficiently process TB-level data with 10k+ CPU cores. 
The system is publicly available and has been widely adopted in diverse research fields and real-world products such as Alibaba Cloud PAI. 
We actively maintain the system and share practical insights to foster research and applications of next-generation foundation models.",data processing; foundation model; scalable infrastructure,False,,,https://openreview.net/forum?id=DHA9uoeMQx,https://openreview.net/pdf?id=DHA9uoeMQx,False
2025,w8uII2qAmd,PhysGym: Benchmarking LLMs in Interactive Physics Discovery with Controlled Priors,Yimeng Chen; Piotr Piękos; Mateusz Ostaszewski; Firas Laakom; Jürgen Schmidhuber,"Evaluating the scientific discovery capabilities of large language model based agents, particularly how they cope with varying environmental complexity and utilize prior knowledge, requires specialized benchmarks currently lacking in the landscape. To address this gap, we introduce PhysGym, a novel benchmark suite and simulation platform for rigorously assessing LLM-based scientific reasoning in interactive physics environments. PhysGym's primary contribution lies in its sophisticated control over the level of prior knowledge provided to the agent. This allows researchers to dissect agent performance along axes including the complexity of the problem and the prior knowledge levels. The benchmark comprises a suite of interactive simulations, where agents must actively probe environments, gather data sequentially under constraints and formulate hypotheses about underlying physical laws. PhysGym provides standardized evaluation protocols and metrics for assessing hypothesis accuracy and model fidelity. We demonstrate the benchmark's utility by presenting results from baseline LLMs, showcasing its ability to differentiate capabilities based on varying priors and task complexity.",AI scientist; equation discovery; LLM,True,https://openreview.net/attachment?id=w8uII2qAmd&name=croissant_file,https://huggingface.co/datasets/YimengChen/PhysGym,https://openreview.net/forum?id=w8uII2qAmd,https://openreview.net/pdf?id=w8uII2qAmd,False
2025,lPVz01z0DI,NAVIX: Scaling MiniGrid Environments with JAX,Eduardo Pignatelli; Jarek Luca Liesen; Robert Tjarko Lange; Chris Lu; Pablo Samuel Castro; Laura Toni,"As Deep Reinforcement Learning (Deep RL) research moves towards solving large-scale worlds, efficient environment simulations become crucial for rapid experimentation. However, most existing environments struggle to scale to high throughput, setting back meaningful progress. Interactions are typically computed on the CPU, limiting training speed and throughput, due to slower computation and communication overhead when distributing the task across multiple machines. Ultimately, Deep RL training is CPU-bound, and developing batched, fast, and scalable environments has become a frontier for progress. Among the most used Reinforcement Learning (RL) environments, MiniGrid is at the foundation of several studies on exploration, curriculum learning, representation learning, diversity, meta-learning, credit assignment, and language-conditioned RL, and still suffers from the limitations described above. In this work, we introduce NAVIX, a re-implementation of MiniGrid in JAX. NAVIX achieves over $160\,000\times$ speed improvements in batch mode, supporting up to 2048 agents in parallel on a single Nvidia A100 80 GB. This reduces experiment times from one week to 15 minutes, promoting faster design iterations and more scalable RL model development.",Reinforcement Learning; Environment design; Batched environments; JAX; MiniGrid,False,,,https://openreview.net/forum?id=lPVz01z0DI,https://openreview.net/pdf?id=lPVz01z0DI,False
2025,FEVfIPMy5b,Simulating Viva Voce Examinations to Evaluate Clinical Reasoning in Large Language Models,Christopher Chiu; Silviu Pitis; Mihaela van der Schaar,"Clinical reasoning in medicine is a hypothesis-driven process where physicians refine diagnoses from limited information through targeted history, physical examination, and diagnostic investigations. In contrast, current medical benchmarks for large language models (LLMs) primarily assess knowledge recall through single-turn questions, where complete clinical information is provided upfront. To address this gap, we introduce VivaBench, a multi-turn benchmark that evaluates sequential clinical reasoning in LLM agents. Our dataset consists of 1762 physician-curated clinical vignettes structured as interactive scenarios that simulate a $ \textit{viva voce}$ (oral) examination in medical training, requiring agents to actively probe for relevant findings, select appropriate investigations, and synthesize information across multiple steps to reach a diagnosis. While current LLMs demonstrate competence in diagnosing conditions from well-described clinical presentations, their performance degrades significantly when required to navigate iterative diagnostic reasoning under uncertainty in our evaluation. Our analysis identified several failure modes that mirror common cognitive errors in clinical practice, including: (1) fixation on initial hypotheses, (2) inappropriate investigation ordering, (3) premature diagnostic closure, and (4) failing to screen for critical conditions. These patterns reveal fundamental limitations in how current LLMs reason and make decisions under uncertainty. Through VivaBench, we provide a standardized benchmark for evaluating conversational medical AI systems for real-world clinical decision support. Beyond medical applications, we contribute to the larger corpus of research on agentic AI by demonstrating how sequential reasoning trajectories can diverge in complex decision-making environments.",diagnostic reasoning; clinical reasoning; healthcare; medical; conversational AI; agentic systems; multi-turn benchmark,True,https://openreview.net/attachment?id=FEVfIPMy5b&name=croissant_file,https://huggingface.co/datasets/chychiu/VivaBench/tree/main,https://openreview.net/forum?id=FEVfIPMy5b,https://openreview.net/pdf?id=FEVfIPMy5b,False
2025,XZPGUWOXeP,OpenLex3D: A Tiered Benchmark for Open-Vocabulary 3D Scene Representations,Christina Kassab; Sacha Morin; Martin Büchner; Matias Mattamala; Kumaraditya Gupta; Abhinav Valada; Liam Paull; Maurice Fallon,"3D scene understanding has been transformed by open-vocabulary language models that enable interaction via natural language. However, at present the evaluation of these representations is limited to datasets with closed-set semantics that do not capture the richness of language. This work presents OpenLex3D, a dedicated benchmark for evaluating 3D open-vocabulary scene representations. OpenLex3D provides entirely new label annotations for scenes from Replica, ScanNet++, and HM3D, which capture real-world linguistic variability by introducing synonymical object categories and additional nuanced descriptions. Our label sets provide 13 times more labels per scene than the original datasets. By introducing an open-set 3D semantic segmentation task and an object retrieval task, we evaluate various existing 3D open-vocabulary methods on OpenLex3D, showcasing failure cases, and avenues for improvement. Our experiments provide insights on feature precision, segmentation, and downstream capabilities. The benchmark is publicly available at: https://openlex3d.github.io/.",Benchmarks; Open-Vocabulary Evaluation; 3D Scene Representations; Instance Retrieval; Instance Segmentation,False,,,https://openreview.net/forum?id=XZPGUWOXeP,https://openreview.net/pdf?id=XZPGUWOXeP,False
2025,qiLboR0ocm,NoBOOM: Chemical Process Datasets for Industrial Anomaly Detection,Dennis Wagner; Fabian Hartung; Justus Arweiler; Aparna Muraleedharan; Indra Jungjohann; Arjun Nair; Steffen Reithermann; Ralf Schulz; Michael Bortz; Daniel Neider; Heike Leitte; Joachim Pfeffinger; Stephan Mandt; Sophie Fellenz; Torsten Katz; Fabian Jirasek; Jakob Burger; Hans Hasse; Marius Kloft,"Monitoring chemical processes is essential to prevent catastrophic failures, optimize costs and profits, and ensure the safety of employees and the environment. 
A key component of modern monitoring systems is the automated detection of anomalies in sensor data over time, called time series, enabling partial automation of plant operation and adding additional layers of supervision to crucial components. 
The development of anomaly detection methods in this domain is challenging, since real chemical process data are usually proprietary, and simulated data are generally not a sufficient replacement. 
In this paper, we present NoBOOM, the first collection of datasets for anomaly detection in real-world chemical process data, including labeled data from a running process at our industry partner BASF SE — one of the world’s leading chemical companies — and several chemical processes run in laboratory‑scale and pilot‑scale plants. 
While we are not able to share every detail about the industrial process, for the laboratory‑ and pilot‑scale plants, we provide comprehensive information on plant configuration, process operation, and, in particular, anomaly events, enabling a differentiated analysis of anomaly detection methods. 
To demonstrate the complexity of the benchmark, we analyze the data with regard to common issues of time-series anomaly detection (TSAD) benchmarks, including potential triviality and bias.",machine learning; time series; anomaly detection; datasets; chemical process,True,https://openreview.net/attachment?id=qiLboR0ocm&name=croissant_file,https://www.kaggle.com/datasets/faebs94/noboom-anomaly-detection-in-chemical-processes,https://openreview.net/forum?id=qiLboR0ocm,https://openreview.net/pdf?id=qiLboR0ocm,False
