id,pred
sample_000,0.5609005487142872
sample_001,0.2307735013591391
sample_002,0.5697258348471154
sample_003,0.27152264742344545
sample_004,0.1678482207149279
sample_005,0.39969162624688626
sample_006,0.4084705259118674
sample_007,0.20393057339185372
sample_008,0.28411102164091206
sample_009,0.07011803627193836
sample_010,0.17075599496440785
sample_011,0.21485338162770262
sample_012,0.39776395975035994
sample_013,0.3589663790396117
sample_014,0.045027921580380936
sample_015,0.26070882957041086
sample_016,0.20664191346539384
sample_017,0.31033166673024537
sample_018,0.5819300387670362
sample_019,0.7566878684044825
