id,pred
sample_000,0.2230671633473691
sample_001,0.702756753367148
sample_002,0.7763658123165239
sample_003,0.6559642323846469
sample_004,0.06297453597509073
sample_005,0.6067435062165395
sample_006,0.8799313094001568
sample_007,0.43813920335420453
sample_008,0.662794644966692
sample_009,0.14537021599181377
sample_010,0.16703300680370192
sample_011,0.49489222036597946
sample_012,0.11672441767098829
sample_013,0.8525626542965441
sample_014,0.07278750980943605
sample_015,0.2270465237227831
sample_016,0.9797502594919302
sample_017,0.7232688882291448
sample_018,0.9317754118597228
sample_019,0.501315885271017
