id,pred
sample_000,0.5888432308415037
sample_001,0.39240475617709336
sample_002,0.37835251212538845
sample_003,0.4412350989405611
sample_004,0.3257436264834279
sample_005,0.7297827952909195
sample_006,0.4478192896786374
sample_007,0.09359014799732246
sample_008,0.03783870035324555
sample_009,0.9681999470691544
sample_010,0.14043437550031357
sample_011,0.8729315181141792
sample_012,0.14697176419956726
sample_013,0.3577592966226536
sample_014,0.017030567330734825
sample_015,0.24821277434685385
sample_016,0.46681105658494226
sample_017,0.19140585612946182
sample_018,0.5878958671481292
sample_019,0.30038287016999843
